,fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
10377,101637,Barosi,"151 Green Lanes, LONDON",N13 4SP,530975,191991.0,51.611515,-0.109851,Enfield
22013,224273,CROWN HOTEL,"Crown Hotel, High Street, Garstang, Preston",PR3 1FA,349269,445285.0,53.901225,-2.773577,Wyre
11724,119337,Three Kings Public House,"Three Kings Public House, 7 Clerkenwell Close, Islington, London",EC1R 0DY,531496,182178.0,51.523219,-0.105999,Islington
7552,70666,White Hart,"22 St Lawrence Road, North Wingfield, Chesterfield",S42 5LH,441024,364973.0,53.180293,-1.387619,North East Derbyshire
9926,95251,La Tasca,"16 Eldon Street, London",EC2M 7LA,532977,181651.0,51.518136,-0.084863,City of London
31791,319790,The Black Bear,"High Street, Wool, Dorset",BH20 6BP,384628,86728.0,50.680004,-2.218944,Purbeck
25785,261956,Headington Bowls Club,"Osler Road, Oxford, Oxfordshire",OX3 9BH,454325,207200.0,51.760848,-1.214278,Oxford
34919,349138,Potters Green Community Centre,"Community Centre, Wigston Road, Coventry",CV2 2QR,437648,282347.0,52.437796,-1.447621,Coventry
39873,386806,Middle Bar,"18 Fountain Street, Halifax",HX1 1LW,409186,425007.0,53.721401,-1.862272,Calderdale
9697,93644,Southampton Arms,"139      Highgate Road, London",NW5 1LE,528610,185757.0,51.556037,-0.146268,Camden
49030,493443,Sexton Arms,"The Sexton Arms, Llansadwrn, Llanwrda, Carmarthenshire",SA19 8HH,269588,231461.0,51.966281,-3.899659,Carmarthenshire
23912,242466,Martello Inn,"108 Langney Rise, Eastbourne, East Sussex",BN23 7DD,563061,102285.0,50.797193,0.312434,Eastbourne
36747,362830,Horse And Jockey Inn,"Horse And Jockey, Grindley Brook, Whitchurch, Shropshire",SY13 4QJ,352232,343150.0,52.983549,-2.712944,Shropshire
40320,389923,Imperial Club and Brewery,"The Imperial Club, 11 Cliff Street, Mexborough, Doncaster",S64 9HU,447144,399770.0,53.492533,-1.290887,Doncaster
248,3086,St Johns Arms,"St Johns Arms, Knotting Road, Melchbourne, Bedford",MK44 1BG,502982,266194.0,52.28424,-0.491751,Bedford
6698,62966,Praha,"22 The Borough, Hinckley, Leicestershire",LE10 1NL,442619,293954.0,52.541781,-1.37302,Hinckley and Bosworth
5276,51792,Peacock Inn,"26 Factory Street, Loughborough",LE11 1AL,454017,319322.0,52.768801,-1.200828,Charnwood
21307,217366,Cheshire Cheese,"654 Knutsford Road, Warrington",WA4 1JQ,362413,387333.0,53.381499,-2.566521,Warrington
9908,95113,Harry's Bar,"17-20 Ironmonger Lane, London",EC2V 8EP,532510,181260.0,51.514732,-0.091736,City of London
16120,169227,Derwent Club,"St Johns Street, Keswick, Cumbria",CA12 5AP,326753,523353.0,54.600019,-3.135304,Allerdale
32076,322428,Rose & Crown Inn,"Rose And Crown Inn, Parkfield Road, Pucklechurch, South Gloucestershire",BS16 9PS,369617,176869.0,51.489954,-2.438996,South Gloucestershire
34129,339445,Trowbridge Rugby Football Club,"Paxcroft, Hilperton, Trowbridge, Wiltshire",BA14 6JB,388282,159269.0,51.332392,-2.169578,Wiltshire
41471,398801,Windmill,"56 Witham, Hull",HU9 1BE,510711,429285.0,53.748188,-0.322607,"Kingston upon Hull, City of"
42513,406913,The Marsh Inn,"70 Uppermoor, Pudsey",LS28 7EX,421344,433170.0,53.794407,-1.677469,Leeds
28736,290462,The Warren,"Warren House Inn, Forest Road, Binfield",RG40 5SB,482122,171004.0,51.432097,-0.820061,Wokingham
35353,352756,Rocester Football Club,"Hillsfield, Mill Street, Rocester",ST14 5JX,411019,339266.0,52.950672,-1.837446,East Staffordshire
49653,499591,Neptune Club,"Ffordd Neifion, Tywyn, Gwynedd",LL36 0DL,258107,299933.0,52.578642,-4.095485,Gwynedd
41961,402088,The Victoria Park Hotel,"Victoria Park, 10 Station Street, Meltham, Holmfirth",HD9 5QL,409957,410697.0,53.592757,-1.851042,Kirklees
26971,274561,Woolston Social Club,"32 Victoria Road, Woolston, Southampton",SO19 9DX,443705,111056.0,50.897327,-1.379906,Southampton
91,824,United Services Club,"White Horse Road, East Bergholt, COLCHESTER, Essex",CO7 6TU,608264,234312.0,51.96825,1.030381,Babergh
31410,315932,Shaftesbury Football Club,"Coppice Street, Shaftesbury, Dorset",SP7 8PD,386613,123015.0,51.006362,-2.192173,North Dorset
50120,503443,Le Pub,Le Pub 1 Caxton Place Newport South Wales,NP20 4BN,330827,188079.0,51.5873,-2.99983,Newport
46843,470302,The Beach Bar,Commerce Street Lossiemouth Moray,IV31 6BW,323224,871180.0,57.723797,-3.290636,Moray
19762,202164,Dog & Partridge @ Gisburn Forest,"Tosside, Skipton, North Yorkshire",BD23 4SQ,376862,455489.0,53.994923,-2.354422,Ribble Valley
50497,506836,Flying Shuttle,"Llanidloes Road, Newtown, Powys",SY16 1HL,309544,290683.0,52.50651,-3.334144,Powys
14966,159722,The Ballarat,"13 Borough Road, North Shields, Tyne And Wear",NE29 6LU,435472,568073.0,55.005955,-1.446944,North Tyneside
40782,393586,Station Hotel,"52 Station Road, Patrington, Hull",HU12 0NE,530910,422968.0,53.686769,-0.019154,East Riding of Yorkshire
49289,495678,Llandudno FC Club House,"Maesdu Park, Builder Street, Llandudno",LL30 1HH,278081,381515.0,53.316492,-3.831601,Conwy
13552,148552,The Comet,"16 Tees View, HURWORTH PLACE, DARLINGTON",DL2 2DH,429061,509946.0,54.484034,-1.55296,Darlington
9470,90885,Pawleyne Arms,"156 High Street, Penge, London",SE20 7EU,535553,170146.0,51.414128,-0.052167,Bromley
10254,99795,Greenford Tennis Club,"Greenford Tennis Club, 76 Ravenor Park Road, Greenford",UB6 9QY,513987,182730.0,51.531981,-0.358076,Ealing
25063,254419,Marden Cricket And Hockey,"Days Sports Pavilion, Albion Road, Marden, Kent",TN12 9ED,574736,144192.0,51.170277,0.498072,Maidstone
48161,485673,Stirrup Stane,"Willow Grove, Craigshill, Livingston",EH54 5LU,306778,668351.0,55.899208,-3.49243,West Lothian
23646,240544,Old Lantern Inn,"The Street, Martin, Kent",CT15 5JL,633810,147008.0,51.174481,1.343558,Dover
50958,509952,The Mackworth Arms,"25 Gadlys Road, Gadlys, Aberdare",CF44 8AE,299779,202958.0,51.716365,-3.452113,Rhondda Cynon Taf
37989,371185,Coreys,"Coreys, Lower Gungate, Tamworth",B79 7AT,420809,304209.0,52.635244,-1.693956,Tamworth
15386,163017,The Tap & Spile,"1 Eastgate, Hexham, Northumberland",NE46 1BH,393640,563853.0,54.969247,-2.100878,Northumberland
47924,481642,Lanark Thistle Bowling Club,"Castlehill Bowling Green, Castlegate, Lanark",ML11 9DZ,288131,643623.0,55.67317,-3.780334,South Lanarkshire
3795,37433,The Plough Ph,"Sleapshyde, Smallford, St Albans, Hertfordshire",AL4 0SE,520231,206888.0,51.747798,-0.25981,St Albans
26606,269866,Castle Hotel,"The Green, Saltwood, Kent",CT21 4AJ,615611,135719.0,51.080264,1.076872,Shepway
36621,361800,The Victoria Suite,"Victoria Suite, 118 Windmill Lane, Smethwick",B66 3EN,402815,287683.0,52.487057,-1.959973,Sandwell
5016,48961,Angel Inn,"Mansfield Road, Clowne, Chesterfield",S43 4JX,448865,375314.0,53.272569,-1.268724,Bolsover
46982,471559,Victoria Bar,"2 Howgate, Kilwinning, Ayrshire",KA13 6EJ,229973,643366.0,55.653979,-4.703955,North Ayrshire
30359,306143,The Yacht Inn,"Yacht Inn, Green Street, Penzance, Cornwall",TR18 4AU,147538,29947.0,50.115796,-5.532828,Cornwall
10397,101953,Crown & Horseshoes,"Public House, 15 Horseshoe Lane, ENFIELD",EN2 6PZ,532419,196987.0,51.656082,-0.08712,Enfield
4239,42111,The Dog And Partridge,"Dog And Partridge, High Road, North Stifford, Grays",RM16 5UQ,560039,180205.0,51.498125,0.304186,Thurrock
29366,297979,Horfield & Bishopston Unionist Club,"293 Gloucester Road, Bishopston, Bristol",BS7 8PE,359252,175922.0,51.480776,-2.588167,"Bristol, City of"
2874,27407,Khoi Khoi Bar and Vino,"31 Hitchin Street, Baldock",SG7 6AQ,524306,233772.0,51.988501,-0.191147,North Hertfordshire
47240,474514,The Royal British Legion,"9-11 John Street, Stromness",KW16 3AD,325505,1009331.0,58.96465,-3.297049,Orkney Islands
17956,187226,Halton Arms,"Murdishaw Avenue, Runcorn, Cheshire",WA7 6HP,355346,380234.0,53.317141,-2.67175,Halton
14550,155113,The Nursery Inn,"Hopps Street, Hartlepool",TS26 8RA,450245,533054.0,54.690031,-1.222069,Hartlepool
5804,56002,Vulcan Arms,"1 St Thomas Road, Normanton, Derby",DE23 8RF,435380,334231.0,52.904357,-1.475429,Derby
33558,335335,Amesbury Bowls Club,"Salisbury Road, Amesbury, Salisbury, Wiltshire",SP4 7HH,415593,141287.0,51.170606,-1.778346,Wiltshire
49919,501827,"Woodlands Tavern, Restaurant & Bar","Llanvair Discoed, Chepstow, Monmouthshire",NP16 6LX,344748,192408.0,51.62776,-2.799603,Monmouthshire
49772,500683,Gurnos Social Club,"Alder Grove, Gurnos Estate, Merthyr Tydfil",CF47 9SF,304803,208135.0,51.763765,-3.380831,Merthyr Tydfil
30974,312335,Castle Cary RFC,"Castle Cary Rugby Football Club, Castle Cary",BA7 7PF,363451,133814.0,51.102454,-2.523378,Mendip
8236,77836,The Goose At Gamston,"Ambleside, Gamston, Nottinghamshire",NG2 6NA,467471,361464.0,53.146057,-0.992685,Rushcliffe
31596,317449,Chandlers Bar & Bistro,"Queen Annes Battery, Queen Anne Place, Plymouth, Devon",PL4 0LP,248758,53844.0,50.365022,-4.127862,Plymouth
816,8260,Earl Of Derby,"129 Hills Road, Cambridge, Cambridgeshire",CB2 1PG,545905,257158.0,52.193371,0.133181,Cambridge
49399,496390,Wheatsheaf Inn,"Wheatsheaf Inn, Betws Yn Rhos, Abergele",LL22 8AW,290665,373593.0,53.248063,-3.640062,Conwy
38803,379004,The Berkeley,"Evesham Road, Sneachill, Egdon, Worcestershire",WR7 4QL,391630,251512.0,52.161814,-2.123775,Wychavon
7810,73057,HQ (Ground Floor),"132 Great Russell Street, Northampton, NN1 3BU",NN1 3BU,475848,261145.0,52.243273,-0.89056,Northampton
16434,171737,The Old Chapel,"14-16 Railway Road, Darwen",BB3 2RG,369346,422304.0,53.696269,-2.465738,Blackburn with Darwen
1567,15306,Bishops Stortford Social Club,"104 South Street, Bishops Stortford, Hertfordshire",CM23 3BG,548852,220986.0,51.867589,0.160537,East Hertfordshire
35501,353816,Kings Arms,"45 High Street, Bromyard",HR7 4AE,365392,254723.0,52.189655,-2.507664,"Herefordshire, County of"
19651,201263,Jalgos Sports & Social Club,"Rose Street, Preston",PR1 3XY,354288,429319.0,53.758211,-2.694834,Preston
13761,149904,Fabio's,"66 Saddler Street, Durham City",DH1 3NP,427415,542469.0,54.776401,-1.575333,County Durham
50649,507974,The Globe at Hay,"Newport Street, Hay-on-wye, Hereford",HR3 5BG,322988,242672.0,52.077031,-3.125123,Powys
6281,59648,Cricket Ground,"Longmoor Lane, Sandiacre",NG10 5JH,447876,336367.0,52.922591,-1.289343,Erewash
9199,87343,Plough And Harrow,"143 Bellegrove Road, Welling, Kent",DA16 3QS,546003,175925.0,51.463472,0.100378,Bexley
17239,180543,The Weston,"76 Earlsway, Macclesfield",SK11 8SR,389561,373058.0,53.254425,-2.157925,Cheshire East
2753,26126,Three Horseshoes,"Burnham Road, Althorne, Chelmsford, Essex",CM3 6DP,591301,198784.0,51.655285,0.764169,Maldon
16632,174993,Nelson,"30 Chorley Old Road, Bolton",BL1 3AA,370907,409672.0,53.582823,-2.440911,Bolton
1774,16725,High Beech Golf Club,"Wellington Hill, Loughton, Waltham Abbey, Essex",IG10 4AH,540595,198470.0,51.667424,0.031592,Epping Forest
45787,455225,Redding & West Quarter Unity Club,"Redding & West Quarter Unity Club, Redding Road, Redding",FK2 9TX,291807,678314.0,55.985558,-3.735739,Falkirk
32734,327922,The Duke Of Edinburgh,"Cricklade Road, Swindon",SN2 1AE,415515,186270.0,51.575086,-1.777513,Swindon
39387,382962,Fleece Inn,"452 Allerton Road, Bradford",BD15 7DY,411328,434379.0,53.805594,-1.829472,Bradford
14323,153390,Gateshead Bowling Green Club,"Prince Consort Road, Gateshead, Tyne and Wear",NE8 1LS,425341,562838.0,54.959538,-1.605794,Gateshead
30943,311954,The Barn Owl,Thatcham Avenue Kingsway Quedgeley Gloucester,GL2 2GS,381573,213624.0,51.820932,-2.268746,Gloucester
28405,287180,Hyde Tavern,"57 Hyde Street, Winchester, Hampshire",SO23 7DY,448108,130262.0,51.06968,-1.314766,Winchester
26121,265520,Smokin' Billy's,"61 St Marys Butts, Reading",RG1 2LG,471350,173388.0,51.454978,-0.974508,Reading
48421,488034,The Victoria,"106 Commercial Street, Maesteg, Maesteg, Bridgend County Borou",CF34 9HJ,285404,191102.0,51.607063,-3.656214,Bridgend
40769,393498,Sotheron Arms,"105 High Street, Hook, Goole",DN14 5PQ,476106,425628.0,53.721519,-0.848128,East Riding of Yorkshire
42816,409044,Bird in the Barley,"The Bird In The Barley, Northfield Road, Messingham, North Lincolnshire",DN17 3SQ,489279,405612.0,53.539576,-0.654289,North Lincolnshire
15062,160397,Blyth Spartans Social Club,"Plessey Road, Blyth, Northumberland",NE24 3JE,431315,580741.0,55.120082,-1.510548,Northumberland
31466,316316,Clevedon Golf Club,"Clevedon Golf Club, Castle Road, Clevedon, North Somerset",BS21 7AA,341476,172986.0,51.452816,-2.843631,North Somerset
41564,399531,Crosland Heath Golf Club,"Felks Stile Road, Crosland Hill, Huddersfield",HD4 7AF,411046,414311.0,53.625219,-1.834462,Kirklees
33971,339047,The Lunchtime Fellowship,"Station Hill Baptist Church, Station Hill, Chippenham, Wiltshire",SN15 1EG,391941,173558.0,51.460938,-2.117388,Wiltshire
22602,229811,The Swan Inn,"Newtown, Newbury, Hampshire",RG20 9BH,447670,163932.0,51.372452,-1.316564,Basingstoke and Deane
28970,292425,Wycombe Heights Golf Centre,"Wycombe Heights Golf Centre, Rayners Avenue, Loudwater, High Wycombe",HP10 9SZ,490028,191688.0,51.616829,-0.701085,Wycombe
45206,449878,Kelburn Bar,Kelburn Bar 19 Cross Arthurlie Street Barrhead East Renfrewshire,G78 1QY,249773,658846.0,55.799465,-4.398091,East Renfrewshire
6150,58680,Yates,"Embassy Centre, Grand Parade, Skegness",PE25 2UG,556890,363298.0,53.14373,0.344246,East Lindsey
23592,240061,Carriers Arms,"12 West Street, Dover, Kent",CT17 0DU,631163,141820.0,51.128984,1.302428,Dover
35589,354609,The Crown,"Walwyn Road, Colwall",WR13 6QP,375483,242483.0,52.080156,-2.359169,"Herefordshire, County of"
48608,489216,The Patriot,"Main Street, Crumlin, Gwent.",NP11 4PT,321298,198365.0,51.678522,-3.139674,Caerphilly
46506,463896,The Flying Duck,"142 Renfield Street, Glasgow",G2 3AU,258982,665886.0,55.865455,-4.254956,Glasgow City
49576,498363,The Talbot,"West Road, Talacre, Flintshire",CH8 9SA,312021,384565.0,53.350626,-3.32315,Flintshire
25429,258785,New Bradwell Sports Association,"Sports Pavilion, Bradwell Road, Bradville, Milton Keynes",MK13 7AD,483311,240950.0,52.060684,-0.786229,Milton Keynes
36834,363691,The Abbey,"Abbey Hotel, 83 Monkmoor Road, Shrewsbury, Shropshire",SY2 5AZ,350399,312948.0,52.711906,-2.735638,Shropshire
13323,147035,The Adventure Bar,"Ground Floor, 20 Bedford Street, London",WC2E 9HP,530216,180751.0,51.510691,-0.124965,Westminster
18687,193333,The Cambridge,"51-57 Mulberry Street, Liverpool, Merseyside",L7 7EE,335793,389980.0,53.402717,-2.967197,Liverpool
12532,133068,The Pig & Whistle,"Pig And Whistle, 86 Sheen Lane, East Sheen",SW14 8LP,520459,175524.0,51.465867,-0.267274,Richmond upon Thames
12656,135099,Old salt quay,"163, Rotherhithe Street, London",SE16 5QU,535539,180173.0,51.504237,-0.048529,Southwark
46267,459756,Bar Square,"5 Bell Street, Glasgow",G1 1NU,259588,665097.0,55.858549,-4.244888,Glasgow City
29070,293797,Talbot Inn,"Bath Road, Keynsham, Bristol, Bath And North East Somerset",BS31 1NP,365813,168276.0,51.412465,-2.492949,Bath and North East Somerset
4757,46672,Chequers Inn,"The Chequers Inn, High Street",NG15 7HD,453688,349202.0,53.037408,-1.200778,Ashfield
37732,369625,The Sugarmill,"38 Brunswick Street, Hanley, Stoke-On-Trent",ST1 1DR,388173,347555.0,53.025152,-2.177779,Stoke-on-Trent
26822,273352,Cafe Parfait Ltd,"194 Above Bar Street, Southampton",SO14 7DW,441967,112346.0,50.909056,-1.40447,Southampton
8801,82266,Olde England,"Public House, 13 - 14 Silver Street, Wellingborough, Northamptonshire",NN8 1BQ,489125,267814.0,52.301227,-0.694398,Wellingborough
9267,87901,Arista Bar,"232 Church Lane, London",NW9 8SN,520549,187451.0,51.573049,-0.261903,Brent
16856,176854,Bridge Tavern,"6-8 Blackburn Street, Radcliffe, Bury",M26 1WW,378608,406984.0,53.559044,-2.324408,Bury
28046,284357,Royal British Legion Club Ltd,"27 Victoria Road, Polegate, East Sussex",BN26 6DB,558051,105012.0,50.823093,0.242576,Wealden
32169,322856,The Squire Inn,"67 Broad Street, Chipping Sodbury, Bristol, South Gloucestershire",BS37 6AD,372851,182252.0,51.53851,-2.392835,South Gloucestershire
9586,92070,Circus,"27      Endell Street, London, Greater London",WC2H 9BA,530209,181177.0,51.514521,-0.124923,Camden
50235,504478,Cottage Inn,"The Cottage Inn, 28 Main Street, Llangwm, Pembrokeshire",SA62 4HP,198932,209554.0,51.748512,-4.914175,Pembrokeshire
3311,31464,Crab & Winkle,"3 Loxley, Werrington, Peterborough",PE4 5BW,516187,303785.0,52.619412,-0.285203,Peterborough
6591,62305,The Commercial Inn,"137 Manor Park Road, Glossop",SK13 7SH,404133,394327.0,53.445704,-1.939226,High Peak
43768,419256,Bay Horse Public House,"Stoney Lane, Chapelthorpe, Wakefield",WF4 3JN,432134,415451.0,53.634601,-1.515509,Wakefield
3250,30905,The Freemasons Arms,"27 Hall Road, Norwich",NR1 3HQ,623393,307667.0,52.620792,1.298848,Norwich
9826,94278,Wetherspoons,"Unit 7 The O2 Centre, 255      Finchley Road, London",NW3 6LU,526195,184796.0,51.547954,-0.181428,Camden
23962,243222,HEDGE END CLUB LIMITED,"HEDGE END CLUB, 4 BURSLEDON ROAD, HEDGE END, SOUTHAMPTON",SO30 0BR,448862,112351.0,50.908568,-1.306408,Eastleigh
9862,94815,City Flogger,"60 Mark Lane, London",EC3R 7ND,533350,180839.0,51.510752,-0.079797,City of London
30986,312435,Crown Inn,"24, Keyford, Frome",BA11 1JW,377658,147453.0,51.225826,-2.321326,Mendip
14855,158043,Saint Theresa's Catholic Men's Club,"Saint Teresa's Catholic Club, 200B Heaton Road, Newcastle upon Tyne",NE6 5HP,426872,565560.0,54.983919,-1.581616,Newcastle upon Tyne
36957,363971,The Royal Oak,"Royal Oak, Cardington, Church Stretton, Shropshire",SY6 7JZ,350552,295183.0,52.552231,-2.730722,Shropshire
23438,237438,The Star,Market Square Petworth West Sussex,GU28 0AH,497651,121679.0,50.986243,-0.610152,Chichester
790,7786,The Old English Gentleman,"253 Turners Hill, Cheshunt, Hertfordshire",EN8 9DG,535764,202692.0,51.706549,-0.036578,Broxbourne
29179,294896,Halo,"Exeter Road, Bournemouth",BH2 5AQ,408533,90944.0,50.718072,-1.880504,Bournemouth
8800,82265,Old Swan Public House,"8 The Square, Earls Barton, Northampton, Northamptonshire",NN6 0NA,485211,263707.0,52.264934,-0.752819,Wellingborough
19465,199782,The Stock Pot,"Trading at The Wellington, 29 Chew Valley Road, Greenfield, Oldham",OL3 7AF,399376,404572.0,53.537786,-2.010886,Oldham
16558,174210,Daisy Hill Football Club,"Daisy Hill New Sirs, St James Street, Westhoughton, Bolton",BL5 2EB,365663,404188.0,53.533215,-2.519512,Bolton
35842,356331,The Crown,"21 Malvern Road, Powick, Worcester",WR2 4SF,381859,251023.0,52.157182,-2.266589,Malvern Hills
40056,387670,Todmorden Golf Club,"Rive Rocks, Broad Gate, Todmorden",OL14 8RD,394466,424928.0,53.72073,-2.08534,Calderdale
11787,120436,My Place Nightclub,"1-3 Trebovir Road, LONDON, SW5 9LS",SW5 9LS,525438,178590.0,51.49235,-0.194546,Kensington and Chelsea
23083,234640,Polo Farm Sports Club,"Littlebourne Road, Canterbury,",CT3 4AF,618216,157946.0,51.278848,1.127476,Canterbury
37650,369371,Suburban Social Club,"128 Greasley Road, Abbey Hulton, Stoke-On-Trent",ST2 8HZ,391035,348436.0,53.033127,-2.135134,Stoke-on-Trent
44548,443054,Crown Inn,"Crown Inn, 49-51 High Street, Monifieth, Dundee",DD5 4AA,349700,732492.0,56.481826,-2.818288,Angus
25711,261413,THE OAK INN,"PINKNEY LANE, BANK, LYNDHURST",SO43 7FD,428469,106930.0,50.861175,-1.596881,New Forest
11648,119138,Tap Room,"Tap Room, 163 Upper Street, Islington, London",N1 1US,531650,184129.0,51.540724,-0.103051,Islington
29262,296380,Avonmouth Bowling Club,"Avonmouth Bowling Club And Sports Ground, Barracks Lane, Shirehampton, Bristol",BS11 9NG,352691,177683.0,51.496087,-2.682875,"Bristol, City of"
6960,66355,The Balmoral,"190 Belgrave Road, Leicester",LE4 5AX,459492,306264.0,52.650845,-1.122049,Leicester
30642,308537,Sidmouth Sailing And Angling Club,"Port Royal Club, The Esplanade, Sidmouth",EX10 8BG,312834,87343.0,50.679194,-3.235073,East Devon
2923,27843,The Bull Inn,"34 High Street, Whitwell, Hitchin",SG4 8AG,518569,221097.0,51.875848,-0.279016,North Hertfordshire
16982,178365,The Pheasant Inn,"The Pheasant Inn, Cumwhitton",CA8 9EX,350605,552275.0,54.862805,-2.771067,Carlisle
24503,248516,"Clarence, The","The Clarence Hotel, 391 London Road, St Leonards-on-sea, East Sussex",TN37 6PH,579963,110677.0,50.867594,0.556144,Hastings
38043,371559,Wilnecote Sports & Recreation Association,"Brook Avenue, Wilnecote, Tamworth",B77 5BT,423025,301275.0,52.608771,-1.661416,Tamworth
33115,331649,Royal Torbay Yacht Club,"12 Beacon Terrace, Victoria Parade, Torquay, Devon",TQ1 2BH,291890,63188.0,50.45853,-3.524379,Torbay
9046,85376,Lambo Bar,"The Tavern, 75 Cricklewood Lane, London",NW2 1HR,524334,186170.0,51.560706,-0.207767,Barnet
5555,54022,Plume of Feathers,"Market Square, Town Centre, Daventry, Northamptonshire",NN11 4BH,457424,262605.0,52.258634,-1.160111,Daventry
19055,196948,Raoshi,"Yew Tree Hotel, Yewtree Lane, Northenden, Manchester",M23 0FF,381518,390675.0,53.412556,-2.279512,Manchester
7456,70189,Gate Inn,"Main Road, Troway, Marsh Lane, Sheffield",S21 5RU,439162,379509.0,53.311078,-1.413696,North East Derbyshire
11096,111134,Wellington (Formely Tee's),"Wellington Terrace, Turnpike Lane, Wood Green, London",N8 0PX,531431,189652.0,51.590399,-0.104144,Haringey
11921,122136,Supreme Bowling Club,"Kings College Sports Ground, Windsor Avenue, New Malden",KT3 5HA,520341,167678.0,51.395377,-0.271635,Kingston upon Thames
35569,354568,The Bell Inn,"Bosbury, Herefordshire",HR8 1PX,369530,243378.0,52.087906,-2.446114,"Herefordshire, County of"
15985,168210,PHILADELPHIA,"PHILADELPHIA LANE, HOUGHTON-LE-SPRING",DH4 4JG,433286,552325.0,54.864614,-1.482937,Sunderland
4560,45481,The Woodman Inn and Restaurant,"21 Warrengate Road, Hatfield, Hertfordshire",AL9 7TT,522949,204149.0,51.722585,-0.221426,Welwyn Hatfield
44999,447129,Bellfield Inn,"Bellfield Inn, 11 Welbeck Street, Kilmarnock, East Ayrshire",KA1 3JN,243180,637343.0,55.604356,-4.490826,East Ayrshire
25183,255828,Mossys Tavern,"Flat, The Wheatsheaf, 53 Capstone Road, Lordswood",ME5 7PU,577489,166249.0,51.367567,0.548336,Medway
44320,440194,LANGDYKES,"Loirston Avenue, Cove Bay, Aberdeen",AB12 3HL,394641,803991.0,57.126811,-2.090154,Aberdeen City
27077,275958,Clubhouse And Snack Bar,"Park Avenue Holiday Camp, Park Avenue, Leysdown, Kent",ME12 4QP,603478,170208.0,51.394411,0.923476,Swale
35243,351911,The Limes Social Club,"Fenton Street, Brierley Hill",DY5 3HD,391591,287193.0,52.482601,-2.12525,Dudley
39071,380497,Golden Nugget Wmc,"Golden Nugget Wmc, 2 Cooperative Street, Goldthorpe",S63 9HN,446450,404331.0,53.533587,-1.300672,Barnsley
26981,274850,Jolly Butcher,"Jolly Butcher Public House, 174 Kingston Road, Staines-upon-Thames",TW18 1PE,505159,170902.0,51.42737,-0.488815,Spelthorne
48532,488774,Masons Arms,"Mill Terrace, Pontymister, Risca",NP11 6LH,324628,190192.0,51.605499,-3.089744,Caerphilly
